"metacell","cell_type","age"
175,"Epiblast",5.75
176,"Epiblast",5.43333333333333
177,"Epiblast",5.5
178,"Epiblast",5.5
179,"Sox1+",5.64516129032258
180,"Epiblast",5.35
181,"Sox1+",5.53333333333333
182,"Epiblast",5.19230769230769
183,"Epiblast",5.625
184,"Epiblast",5.05555555555556
185,"Epiblast",5.60714285714286
186,"Sox1+",5.53333333333333
187,"Sox1+",5.68
188,"Epiblast",6.21212121212121
189,"Epiblast",6.20512820512821
190,"Sox1+",6.26923076923077
191,"Sox1+",6.53658536585366
192,"Epiblast",6.13253012048193
193,"Sox1+",6.125
194,"Sox1+",5.7037037037037
195,"Sox1+",5.70967741935484
196,"Epiblast",5.65217391304348
197,"Sox1+",6.11111111111111
198,"Sox1+",6.04
199,"Epiblast",6.03448275862069
200,"Sox1+",6.23809523809524
201,"Epiblast",6.03571428571429
202,"Sox1+",5.80952380952381
203,"Sox1+",6
204,"Sox1+",6.13793103448276
205,"Sox1+",5.82142857142857
206,"Sox1+",5.61538461538462
207,"Sox1+",5.72222222222222
208,"Epiblast",5.5
209,"Sox1+",5.59090909090909
210,"Sox1+",5.57142857142857
211,"Epiblast",5.65217391304348
212,"Sox1+",5.55555555555556
213,"Sox1+",6.75384615384615
214,"Epiblast",6.52941176470588
215,"Sox1+",6.41666666666667
216,"Sox1+",6.5
217,"Epiblast",6.28571428571429
218,"Epiblast",6.6
219,"Epiblast",6
220,"Sox1+",6.45833333333333
221,"Sox1+",6.18181818181818
222,"Sox1+",6.28571428571429
223,"Epiblast",6.15384615384615
224,"Epiblast",6
225,"Epiblast",5.80645161290323
226,"Sox1+",5.88
227,"Sox1+",6.14285714285714
228,"Sox1+",6
229,"Epiblast",6.09677419354839
230,"Sox1+",6.2
231,"Sox1+",6.07692307692308
232,"Sox1+",5.62068965517241
233,"Sox1+",5.79310344827586
234,"Epiblast",6
235,"Sox1+",6.21875
236,"Sox1+",6.54285714285714
237,"Sox1+",6.38461538461539
238,"Sox1+",6.35714285714286
239,"Epiblast",6.27272727272727
240,"Sox1+",6.60714285714286
241,"Sox1+",6.19230769230769
242,"Sox1+",6.79310344827586
243,"Sox1+",6.25
244,"Sox1+",6.40625
245,"Epiblast",6.05128205128205
246,"Sox1+",6.19444444444445
247,"Sox1+",6.11764705882353
248,"Epiblast",5.96774193548387
249,"Sox1+",6.13793103448276
250,"Sox1+",6.15384615384615
251,"Sox1+",6.6
252,"Sox1+",6.14814814814815
253,"Sox1+",6.19230769230769
254,"Sox1+",6.58620689655172
255,"Sox1+",6.75
256,"Sox1+",6.5
257,"Sox1+",6.5
258,"Sox1+",6.70588235294118
259,"Sox1+",6.53846153846154
260,"Sox1+",6.175
261,"Sox1+",6.42857142857143
262,"Sox1+",6.30769230769231
263,"Sox1+",6.17857142857143
264,"Sox1+",6.51515151515152
265,"Sox1+",6.3030303030303
266,"Sox1+",6.32258064516129
267,"Sox1+",6.2962962962963
268,"Sox1+",6.5
269,"Sox1+",6.25925925925926
270,"Epiblast",6.13793103448276
271,"Epiblast",6.5
272,"Sox1+",6.75
273,"Sox1+",6.64
274,"Epiblast",6.51351351351351
275,"Sox1+",6.44444444444445
276,"Sox1+",6.63636363636364
277,"Epiblast",6.40540540540541
278,"Sox1+",6.57142857142857
279,"Sox1+",6.40625
280,"Sox1+",6.64285714285714
281,"Sox1+",6.41379310344828
282,"Sox1+",6.44444444444445
283,"Epiblast",6.36111111111111
284,"Sox1+",6.6
285,"Sox1+",6.96153846153846
286,"Sox1+",6.98461538461539
287,"Sox1+",6.5
288,"Sox1+",6.94017094017094
289,"Sox1+",6.93069306930693
290,"Epiblast",6.28571428571429
291,"Primitive Streak",6.29411764705882
292,"Primitive Streak",6.80769230769231
293,"Primitive Streak",6.59375
294,"Epiblast",6.63157894736842
295,"Primitive Streak",6.82051282051282
296,"Primitive Streak",6.85057471264368
297,"Primitive Streak",6.49019607843137
298,"Primitive Streak",6.58490566037736
299,"Primitive Streak",6.82291666666667
300,"Primitive Streak",6.68
301,"Epiblast",4.85185185185185
302,"Epiblast",4.78787878787879
303,"Epiblast",5.03030303030303
304,"Epiblast",4.75
305,"Sox1+",5.07692307692308
306,"Epiblast",5.03333333333333
307,"Epiblast",4.47058823529412
308,"Epiblast",4.76923076923077
309,"Epiblast",5.07407407407407
310,"Sox1+",4.76315789473684
311,"Sox1+",4.92592592592593
312,"Sox1+",4.66666666666667
313,"Epiblast",5.05555555555556
314,"Epiblast",4.9
315,"Epiblast",4.91428571428572
316,"Epiblast",5.38709677419355
317,"Epiblast",4.84
318,"Epiblast",4.85185185185185
319,"Epiblast",5.32258064516129
320,"Epiblast",5.02941176470588
321,"Epiblast",5.15151515151515
322,"Epiblast",4.55882352941176
323,"Sox1+",4.8125
324,"Epiblast",5.03225806451613
325,"Epiblast",5.39285714285714
326,"Epiblast",5.19354838709677
327,"Epiblast",5.17391304347826
328,"Epiblast",5.48387096774194
329,"Epiblast",5.31034482758621
330,"Epiblast",5.60869565217391
331,"Epiblast",5.15384615384615
332,"Sox1+",5.05882352941176
333,"Epiblast",4.525
334,"Epiblast",4.89655172413793
335,"Sox1+",4.67741935483871
336,"Epiblast",5
337,"Epiblast",5.02564102564103
338,"Epiblast",4.88888888888889
339,"Epiblast",4.86206896551724
340,"Epiblast",5
341,"Epiblast",5.20588235294118
342,"Epiblast",5.66666666666667
343,"Epiblast",5.67469879518072
344,"Epiblast",5.76041666666667
345,"Rostral neurectoderm",6.17460317460318
346,"Sox1+",6.125
347,"Epiblast",6.17391304347826
348,"Epiblast",5.85714285714286
349,"Primitive Streak",6.04054054054054
350,"Epiblast",5.62068965517241
351,"Epiblast",5.14285714285714
352,"Sox1+",5.3448275862069
353,"Epiblast",5.46153846153846
354,"Epiblast",5.42307692307692
355,"Epiblast",5.26923076923077
356,"Sox1+",5.23333333333333
357,"Epiblast",5.0625
358,"Epiblast",4.41666666666667
359,"Epiblast",4.33333333333333
360,"Epiblast",4.51724137931035
361,"Epiblast",4.2093023255814
362,"Epiblast",4.27777777777778
363,"Epiblast",4.38461538461539
364,"Epiblast",4.71428571428571
365,"Epiblast",4.58823529411765
366,"Epiblast",4.97142857142857
367,"Epiblast",4.67647058823529
368,"Epiblast",4.68965517241379
369,"Epiblast",5.09375
370,"Epiblast",4.64516129032258
371,"Epiblast",4.73529411764706
372,"Epiblast",4.64285714285714
373,"Epiblast",4.53333333333333
374,"Epiblast",4.375
375,"Sox1+",4.46666666666667
376,"Epiblast",5.38709677419355
377,"Epiblast",4.7
378,"Epiblast",4.64705882352941
379,"Epiblast",4.28125
380,"Epiblast",4.5
381,"Epiblast",5.14285714285714
382,"Epiblast",4.6551724137931
383,"Epiblast",4.84
