"metacell","cell_type","age"
196,"ESC",0
197,"ESC",0.113636363636364
198,"ESC",0
199,"ESC",0
200,"ESC",0
201,"ESC",0
202,"ESC",0.0760869565217391
203,"ESC",0.0612244897959184
204,"Dppa3+",6.42307692307692
205,"Dppa3+",5.20588235294118
206,"Epiblast",5.53333333333333
207,"Dppa3+",4.85714285714286
208,"Dppa3+",4.90909090909091
209,"Dppa3+",5.58620689655172
210,"Dppa3+",6
211,"Dppa3+",5.93939393939394
212,"Dppa3+",5.89285714285714
213,"Dppa3+",5.72727272727273
214,"Dppa3+",6.05714285714286
215,"Dppa3+",5.95121951219512
216,"Dppa3+",4.93939393939394
217,"Dppa3+",5.375
218,"Dppa3+",4.37931034482759
219,"Dppa3+",4.75
220,"Dppa3+",6.1219512195122
221,"Dppa3+",5.18181818181818
222,"Epiblast",4.55555555555556
223,"Dppa3+",6.33333333333333
224,"Dppa3+",6.5
225,"Dppa3+",5.17241379310345
226,"Dppa3+",5.43243243243243
227,"Dppa3+",5.48275862068966
228,"Dppa3+",5.60714285714286
229,"Dppa3+",3.42553191489362
230,"Epiblast",3.88888888888889
231,"Dppa3+",4.43478260869565
232,"Epiblast",3.28378378378378
233,"Epiblast",3.11538461538462
234,"Epiblast",3.30909090909091
235,"Epiblast",3.26923076923077
236,"Dppa3+",3.34782608695652
237,"Epiblast",3.05882352941176
238,"Epiblast",3.21621621621622
239,"Epiblast",3.275
240,"Epiblast",4.0625
241,"Epiblast",3.75862068965517
242,"Dppa3+",4.36111111111111
243,"Dppa3+",4.53125
244,"Epiblast",4.44827586206897
245,"Epiblast",3.78947368421053
246,"Dppa3+",3.82142857142857
247,"Dppa3+",3.80769230769231
248,"Dppa3+",3.90909090909091
249,"Dppa3+",4.43333333333333
250,"Dppa3+",4.21739130434783
251,"Dppa3+",5.12121212121212
252,"Dppa3+",4.8
253,"Epiblast",5.29032258064516
254,"Dppa3+",5
255,"Dppa3+",4.31034482758621
256,"Dppa3+",4.45833333333333
257,"Epiblast",4.06060606060606
258,"Epiblast",4.82051282051282
259,"Dppa3+",5.47727272727273
260,"Dppa3+",5.19354838709677
261,"Dppa3+",5.26923076923077
262,"Dppa3+",4.68
263,"Dppa3+",4.77777777777778
264,"Epiblast",1.17796610169492
265,"Epiblast",1.23595505617978
266,"Epiblast",1.53333333333333
267,"Epiblast",1.32051282051282
268,"Epiblast",1.51162790697674
269,"Dppa3+",1.28187919463087
270,"Epiblast",1.20634920634921
271,"Epiblast",1.025
272,"Epiblast",1.31481481481482
273,"Epiblast",1.09090909090909
274,"Epiblast",1.07042253521127
275,"Zscan4d+ESC",3.1830985915493
276,"Zscan4d+ESC",0.469879518072289
277,"Epiblast",3.08823529411765
278,"Epiblast",3.1875
279,"Epiblast",3.55
280,"Dppa3+",3.60526315789474
281,"Epiblast",3.73684210526316
282,"Dppa3+",4.56521739130435
283,"Dppa3+",3.88461538461538
284,"Epiblast",3.39393939393939
285,"Epiblast",4.15625
286,"Epiblast",4.65384615384615
287,"Epiblast",4.41379310344828
288,"Dppa3+",4.51851851851852
289,"Epiblast",3.575
290,"Epiblast",4.0625
291,"Epiblast",3.48979591836735
292,"Epiblast",3.38235294117647
293,"Epiblast",3.32258064516129
294,"Epiblast",3.83333333333333
295,"Epiblast",3.64864864864865
296,"Dppa3+",4.17647058823529
297,"Epiblast",4.27586206896552
298,"Epiblast",4.14705882352941
299,"Epiblast",4.55172413793104
300,"Epiblast",4.6
301,"Epiblast",4.3265306122449
302,"Epiblast",4.17241379310345
303,"Epiblast",4.03333333333333
304,"Epiblast",4.14285714285714
305,"Epiblast",3.96551724137931
306,"Epiblast",4.0625
307,"Epiblast",4.76923076923077
308,"Epiblast",3.97826086956522
309,"Epiblast",3.85714285714286
310,"Epiblast",3.66666666666667
311,"Epiblast",4.11111111111111
312,"Epiblast",4.62068965517241
313,"Epiblast",3.68
314,"Epiblast",3.89285714285714
315,"Epiblast",4.71875
316,"Epiblast",3.85714285714286
317,"Epiblast",4.42857142857143
318,"Epiblast",4.28
319,"Epiblast",4
320,"Epiblast",3.90322580645161
321,"Epiblast",4.08
322,"Epiblast",4.36363636363636
323,"Epiblast",4.18518518518519
324,"Epiblast",4.24390243902439
325,"Epiblast",4.45121951219512
326,"Epiblast",5
327,"Epiblast",4.93333333333333
328,"Epiblast",5
329,"Primitive Streak",4.72727272727273
